index,UK Total,England,Northern Ireland,Scotland,Wales,East of England,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire & Humber
UK Total,1.0,0.987,0.992,0.99,0.99,0.989,0.988,0.987,0.986,0.988,0.984,0.987,0.987,0.989
England,0.987,1.0,0.99,0.991,0.989,0.986,0.984,0.988,0.989,0.989,0.986,0.988,0.987,0.989
Northern Ireland,0.992,0.99,1.0,0.995,0.994,0.993,0.991,0.992,0.993,0.993,0.989,0.992,0.992,0.994
Scotland,0.99,0.991,0.995,1.0,0.994,0.991,0.992,0.992,0.993,0.993,0.989,0.992,0.991,0.993
Wales,0.99,0.989,0.994,0.994,1.0,0.989,0.99,0.99,0.993,0.994,0.99,0.99,0.991,0.992
East of England,0.989,0.986,0.993,0.991,0.989,1.0,0.992,0.989,0.989,0.989,0.986,0.987,0.99,0.992
East Midlands,0.988,0.984,0.991,0.992,0.99,0.992,1.0,0.988,0.989,0.989,0.988,0.988,0.989,0.99
London,0.987,0.988,0.992,0.992,0.99,0.989,0.988,1.0,0.99,0.989,0.987,0.989,0.989,0.991
North East,0.986,0.989,0.993,0.993,0.993,0.989,0.989,0.99,1.0,0.991,0.987,0.991,0.991,0.992
North West,0.988,0.989,0.993,0.993,0.994,0.989,0.989,0.989,0.991,1.0,0.988,0.99,0.991,0.992
South East,0.984,0.986,0.989,0.989,0.99,0.986,0.988,0.987,0.987,0.988,1.0,0.988,0.988,0.988
South West,0.987,0.988,0.992,0.992,0.99,0.987,0.988,0.989,0.991,0.99,0.988,1.0,0.99,0.991
West Midlands,0.987,0.987,0.992,0.991,0.991,0.99,0.989,0.989,0.991,0.991,0.988,0.99,1.0,0.991
Yorkshire & Humber,0.989,0.989,0.994,0.993,0.992,0.992,0.99,0.991,0.992,0.992,0.988,0.991,0.991,1.0
