Region,Mean,Median,Std,Min,Max,P25,P75
UK Total,108.92,106.9,10.32,89.0,136.7,102.82,115.28
England,110.02,107.35,10.57,89.5,137.3,103.7,116.6
Northern Ireland,110.24,106.5,17.54,75.4,154.8,100.6,121.68
Scotland,111.01,107.65,15.3,80.2,148.9,102.08,121.8
Wales,108.27,105.45,12.32,85.1,139.7,100.88,114.82
East of England,111.94,109.6,10.4,91.3,138.2,106.45,117.88
East Midlands,108.41,105.9,11.35,85.9,136.7,101.82,115.68
London,116.08,114.4,10.3,95.8,142.0,110.12,122.88
North East,106.09,103.5,12.56,81.8,137.4,99.2,113.98
North West,109.83,107.2,11.29,86.7,139.0,103.43,117.22
South East,111.93,109.55,10.52,90.8,140.3,105.8,117.98
South West,110.5,108.3,11.27,89.8,139.3,103.68,117.7
West Midlands,108.41,106.05,11.33,86.1,137.1,101.62,114.8
Yorkshire & Humber,107.25,104.75,12.51,82.2,139.5,100.35,115.28
