Rank,Region,Current,Trend,Stability,Recovery,Peak,Consistency,Composite
1,London,77.5,37.8,53.8,27.5,94.7,48.8,56.8
2,East of England,75.6,38.6,53.1,31.1,92.1,48.3,56.5
3,South East,74.9,39.7,50.5,28.3,93.5,47.7,55.9
4,England,72.9,38.5,52.2,26.4,91.5,47.4,54.9
5,UK Total,72.5,36.5,52.3,26.2,91.1,48.7,54.5
6,North West,73.4,37.0,47.7,30.6,92.7,43.9,54.3
7,South West,74.3,34.9,50.5,28.7,92.9,44.0,54.2
8,West Midlands,71.6,37.5,49.0,27.8,91.4,43.6,53.6
9,East Midlands,71.8,35.8,49.2,28.7,91.1,43.6,53.4
10,Wales,73.0,36.3,45.4,31.3,93.1,38.7,53.1
11,Yorkshire & Humber,71.6,35.7,42.7,31.6,93.0,37.8,52.2
12,North East,71.2,34.7,44.4,32.2,91.6,37.6,52.0
13,Scotland,73.2,31.0,31.3,32.5,99.3,23.9,48.9
14,Northern Ireland,72.6,30.1,20.6,33.1,100.0,12.8,45.5
