Region,Slope,Intercept,R_squared,P_value,Std_Error,Direction
UK Total,-0.0677,111.94,0.0294,0.106405,0.0415,MODERATE_DOWN
England,-0.0573,112.57,0.0201,0.18286,0.0427,MODERATE_DOWN
Northern Ireland,-0.0996,114.67,0.022,0.162978,0.0708,MODERATE_DOWN
Scotland,-0.095,115.24,0.0263,0.126785,0.0616,MODERATE_DOWN
Wales,-0.0685,111.32,0.0211,0.171986,0.0497,MODERATE_DOWN
East of England,-0.0572,114.49,0.0207,0.176257,0.042,MODERATE_DOWN
East Midlands,-0.0709,111.57,0.0266,0.124252,0.0457,MODERATE_DOWN
London,-0.0609,118.79,0.0238,0.146401,0.0415,MODERATE_DOWN
North East,-0.0767,109.5,0.0255,0.133029,0.0506,MODERATE_DOWN
North West,-0.0648,112.71,0.0225,0.157955,0.0455,MODERATE_DOWN
South East,-0.0514,114.22,0.0163,0.231069,0.0426,MODERATE_DOWN
South West,-0.0754,113.86,0.0305,0.099447,0.0453,MODERATE_DOWN
West Midlands,-0.0624,111.18,0.0207,0.176544,0.0458,MODERATE_DOWN
Yorkshire & Humber,-0.0714,110.43,0.0222,0.160692,0.0505,MODERATE_DOWN
